0.82,1
0.8,11
0.78,12
0.75,449
0.74,1005
0.73,1624
0.72,3471
0.71,4435
0.7,5459
0.69,8668
0.66,12870
0.65,12874
0.64,12875
0.63,13863
0.62,15567
0.61,18025
0.6,19312
0.59,19430
0.58,19445
0.57,19498
0.55,21250
0.54,21257
0.53,23064
0.52,23174
0.51,24751
0.5,24972
0.49,25171
0.48,25276
0.47,25310
0.46,25450
0.43,25456
0.42,28666
0.41,28922
0.4,28960
0.39,28974
0.38,29280
0.37,29460
0.36,34968
0.35,35085
0.34,35437
0.32,35464
0.31,35860
0.3,36111
0.29,36371
0.28,36690
0.27,39507
0.26,39678
0.25,44923
0.24,45218
0.23,45263
0.21,45289
0.2,53511
0.19,57562
0.18,57724
0.17,69069
0.16,69719
0.15,78027
0.14,83061
0.13,83810
0.12,91652
0.11,91857
0.1,97955
0.09,98054
0.08,98438
0.07,98603
0.06,101820
0.05,141256
0.04,163705
0.03,287040
