0.66,735
0.65,758
0.64,1552
0.63,1574
0.62,2235
0.61,2297
0.6,2585
0.59,2587
0.58,2592
0.57,2606
0.55,2613
0.54,3745
0.52,3756
0.51,3960
0.5,4301
0.49,4303
0.48,4328
0.47,4331
0.46,4409
0.43,4413
0.42,4446
0.41,4451
0.4,4452
0.39,4535
0.38,4639
0.37,4826
0.35,5036
0.34,5045
0.31,5046
0.3,5112
0.29,5113
0.28,5116
0.27,5218
0.26,5222
0.25,5257
0.24,5258
0.23,5261
0.21,5266
0.2,5273
0.19,5275
0.18,5278
0.17,5292
0.16,5297
0.15,7725
0.14,7766
0.13,7829
0.12,7936
0.11,8629
0.1,9051
0.09,9153
0.08,9369
0.07,9419
0.06,9601
0.05,10436
0.04,13223
0.03,24510
