6.29,15
6.03,24
6.01,30
5.99,35
5.98,234
5.9,243
5.84,246
5.81,247
5.8,328
5.79,331
5.77,332
5.66,333
5.63,342
5.61,357
5.57,408
5.56,413
5.54,414
5.53,425
5.52,428
5.45,429
5.44,529
5.41,540
5.38,547
5.37,548
5.32,552
5.3,557
5.25,561
5.24,571
5.19,573
5.15,577
5.12,579
5.11,593
5.1,599
5.03,605
5.01,655
5,660
4.98,661
4.95,673
4.92,674
4.91,675
4.9,725
4.88,814
4.85,815
4.83,816
4.79,817
4.78,818
4.75,819
4.69,822
4.65,823
4.64,824
4.56,827
4.55,828
4.5,838
4.44,840
4.4,860
4.3,863
4.29,864
4.25,865
4.2,867
4.19,877
4.07,878
4,882
3.91,883
3.86,893
3.7,900
3.69,901
3.5,918
3.38,920
3.3,923
3.29,988
3.14,989
2.84,1189
2.79,1192
2.73,1193
2.68,1194
2.57,1195
2.48,1196
2.47,1203
2.27,1206
2.16,1207
2.07,1208
2,1211
1.96,1212
1.74,1215
1.69,1216
1.56,1217
1.53,1223
1.52,1224
1.49,1225
1.42,1226
1.4,1227
1.34,1228
1.29,1229
1.28,1257
1.23,1297
1.22,1328
1.19,1333
1.17,1334
1.12,1344
1.1,1355
1.09,1357
