8.91,15
8.8,107
8.74,108
8.64,116
8.59,120
8.58,123
8.53,126
8.48,143
8.46,153
8.45,154
8.44,155
8.37,165
8.35,171
8.31,174
8.29,185
8.28,189
8.2,192
8.17,193
8.13,198
8.09,208
8.02,211
8.01,214
8,215
7.94,231
7.9,232
7.87,235
7.86,239
7.83,241
7.82,242
7.79,243
7.78,245
7.77,248
7.76,258
7.73,260
7.72,263
7.68,267
7.67,268
7.66,272
7.64,274
7.63,276
7.55,277
7.54,327
7.52,328
7.42,331
7.32,333
7.29,335
7.28,339
7.22,341
7.1,349
7.08,350
7.06,352
7.02,365
6.99,368
6.95,370
6.94,372
6.81,374
6.79,375
6.74,378
6.55,381
6.52,384
6.45,385
6.21,505
6.17,509
6.13,513
6.11,514
6,540
5.75,541
5.56,551
5.42,552
5.03,572
5,577
4.95,579
4.9,581
4.49,582
4.39,586
4.3,589
4.2,590
4.03,595
4,646
3.7,647
3.61,648
3.5,650
3.15,652
3.14,653
3.1,657
3.06,660
3.05,661
3,662
2.66,663
2.57,665
2.47,666
2.34,667
2.27,668
2.22,669
2.1,670
1.88,671
1.75,677
1.74,681
1.61,682
1.56,693
1.54,695
