0.89,192
0.85,1497
0.84,1505
0.83,1507
0.82,1755
0.81,1929
0.8,1988
0.78,2079
0.77,2088
0.76,2246
0.75,2343
0.74,2435
0.71,2436
0.7,2536
0.69,2698
0.66,2707
0.64,2718
0.63,2915
0.62,3040
0.61,3068
0.6,3304
0.59,4306
0.58,4311
0.57,4314
0.55,4324
0.54,4403
0.52,4413
0.51,4427
0.5,4428
0.49,4429
0.48,4440
0.46,4446
0.43,4566
0.4,4571
0.39,4573
0.38,4574
0.37,4584
0.35,4585
0.34,4593
0.3,4603
0.28,4604
0.27,4685
0.26,4687
0.25,4700
0.23,4722
0.2,4731
0.19,4732
0.18,4759
0.17,4878
0.16,4880
0.15,5823
0.14,6001
0.13,6612
0.12,6615
0.11,6913
0.1,7170
0.09,7209
0.08,7435
0.07,7469
0.06,7624
0.05,8215
0.04,8356
0.03,15728
