1.11,5
1.1,148
1.09,153
1.08,361
1.05,630
1.04,640
1.03,690
1.01,698
1,739
0.99,741
0.98,781
0.97,784
0.96,1550
0.95,1668
0.94,1729
0.93,1769
0.92,1931
0.89,2179
0.87,2190
0.86,2266
0.85,2416
0.84,2469
0.83,2569
0.82,2773
0.81,2918
0.8,3573
0.78,3747
0.77,3750
0.76,3753
0.75,3794
0.74,3920
0.73,4326
0.72,4327
0.7,4580
0.69,4811
0.66,5567
0.65,5570
0.64,6522
0.63,7278
0.62,7464
0.61,7512
0.6,7705
0.59,7707
0.58,7762
0.57,7770
0.55,8811
0.54,8844
0.53,8847
0.52,8949
0.51,9113
0.5,10259
0.49,10261
0.48,10362
0.47,10375
0.46,10581
0.43,14437
0.42,15447
0.41,15451
0.4,15880
0.39,16949
0.38,18241
0.37,18471
0.36,18478
0.35,18510
0.34,18535
0.32,18539
0.31,18549
0.3,18901
0.29,21202
0.28,24195
0.27,24202
0.26,24309
0.25,25132
0.24,25157
0.23,25168
0.21,25594
0.2,25693
0.19,25803
0.18,28387
0.17,28878
0.16,28926
0.15,29071
0.14,29280
0.13,29545
0.12,29649
0.11,29952
0.1,30865
0.09,31225
0.08,35555
0.07,35926
0.06,37163
0.05,47939
0.04,49302
0.03,87657
