SSG08,BloodintheWater,FactoryNew,0.00117894736842
SSG08,BloodintheWater,MinimalWear,0.00134736842105
SSG08,BloodintheWater,Field-Tested,0.00387368421053
USP-S,Serum,FactoryNew,0.00294736842105
USP-S,Serum,MinimalWear,0.00336842105263
USP-S,Serum,Field-Tested,0.00968421052632
P90,ColdBlooded,FactoryNew,0.00746666666667
P90,ColdBlooded,MinimalWear,0.00853333333333
DualBerettas,Hemoglobin,FactoryNew,0.03995
Nova,Graphite,MinimalWear,0.03995
MP9,Hypnotic,FactoryNew,0.0186433333333
MP9,Hypnotic,MinimalWear,0.0213066666667
Five-SeveN,CaseHardened,MinimalWear,0.00343655913978
Five-SeveN,CaseHardened,Field-Tested,0.00988010752688
Five-SeveN,CaseHardened,Well-Worn,0.00300698924731
Five-SeveN,CaseHardened,Battle-Scarred,0.023626344086
SCAR-20,CrimsonWeb,FactoryNew,0.0111888
SCAR-20,CrimsonWeb,MinimalWear,0.0127872
SCAR-20,CrimsonWeb,Field-Tested,0.0367632
SCAR-20,CrimsonWeb,Well-Worn,0.0111888
SCAR-20,CrimsonWeb,Battle-Scarred,0.087912
P250,Hive,FactoryNew,0.0294442105263
P250,Hive,MinimalWear,0.0336505263158
P250,Hive,Field-Tested,0.0967452631579
FAMAS,Hexane,FactoryNew,0.024864
FAMAS,Hexane,MinimalWear,0.028416
FAMAS,Hexane,Field-Tested,0.081696
FAMAS,Hexane,Well-Worn,0.024864
M4A1-S,BloodTiger,FactoryNew,0.0294442105263
M4A1-S,BloodTiger,MinimalWear,0.0336505263158
M4A1-S,BloodTiger,Field-Tested,0.0967452631579
Tec-9,BlueTitanium,FactoryNew,0.15984
