key   prices   shares   usage   condition   rarity   statTrak   z1   z2   z3   z4   z5   z6   z7   z8   z9   z10
1   22.809969697   3.340677424592812e-5   5.13   2   4   0   0.0   0.6564489325366429   0.8086981085681142   1.4771393494959   18.737585737291   1.203307631673143   3.0461253835189033   0.23301479928154445   52.14757917054294   1.1759096751892222
2   51.380974026   7.794913990716561e-5   5.13   5   4   0   0.0   0.6564489325366429   0.8086981085681142   1.4771393494959   18.737585737291   1.203307631673143   3.0461253835189033   0.23301479928154445   52.14757917054294   1.1759096751892222
3   21.5584401935   0.0004604060886984275   5.13   3   4   0   0.0   0.6564489325366429   0.8086981085681142   1.4771393494959   18.737585737291   1.203307631673143   3.0461253835189033   0.23301479928154445   52.14757917054294   1.1759096751892222
4   13.4051761252   0.00010345976751314709   5.13   1   4   0   0.0   0.6564489325366429   0.8086981085681142   1.4771393494959   18.737585737291   1.203307631673143   3.0461253835189033   0.23301479928154445   52.14757917054294   1.1759096751892222
5   32.4396305668   0.00020003571487864838   5.13   4   4   0   0.0   0.6564489325366429   0.8086981085681142   1.4771393494959   18.737585737291   1.203307631673143   3.0461253835189033   0.23301479928154445   52.14757917054294   1.1759096751892222
6   6.6167962963   5.466563058424601e-5   5.13   3   2   0   0.0   0.0   1.6925410211250003   0.0   146.111528023625   0.0   0.0   7.300950822538001   66.1855751085043   38.31396290875
7   6.88432451499   0.00011479782422691662   5.13   4   2   0   0.0   0.0   1.6925410211250003   0.0   146.111528023625   0.0   0.0   7.300950822538001   66.1855751085043   38.31396290875
8   8.40542417062   8.544035595019191e-5   5.13   5   3   0   0.0   2.72728525641   7.94834602862   7.575539984230583   0.0   0.0   4.150851575878501   28.503292678853935   4.214959138328   0.0
9   7.34603174603   1.2755313802990736e-5   5.13   3   3   0   0.0   2.72728525641   7.94834602862   7.575539984230583   0.0   0.0   4.150851575878501   28.503292678853935   4.214959138328   0.0
10   7.97664444444   6.377656901495368e-5   5.13   4   3   0   0.0   2.72728525641   7.94834602862   7.575539984230583   0.0   0.0   4.150851575878501   28.503292678853935   4.214959138328   0.0
11   2.55754043127   0.0003004585029148929   5.13   2   2   0   0.0   2.4935190935987857   0.5680130602919167   3.748936545974367   0.0   0.0   0.8601462889672501   17.867634705460684   17.591298068874053   0.0
12   4.28766784502   0.0014318345907103252   5.13   5   2   0   0.0   2.4935190935987857   0.5680130602919167   3.748936545974367   0.0   0.0   0.8601462889672501   17.867634705460684   17.591298068874053   0.0
13   1.79174558464   0.004470838720597483   5.13   3   2   0   0.0   2.4935190935987857   0.5680130602919167   3.748936545974367   0.0   0.0   0.8601462889672501   17.867634705460684   17.591298068874053   0.0
14   1.64660840708   0.0002745429447119911   5.13   1   2   0   0.0   2.4935190935987857   0.5680130602919167   3.748936545974367   0.0   0.0   0.8601462889672501   17.867634705460684   17.591298068874053   0.0
15   2.75124690071   0.003494955982019462   5.13   4   2   0   0.0   2.4935190935987857   0.5680130602919167   3.748936545974367   0.0   0.0   0.8601462889672501   17.867634705460684   17.591298068874053   0.0
16   0.912277035237   0.0004998868218981608   5.13   2   1   0   0.0   0.36308805377753334   1.9445402864345094   1.0884308319143106   65.52641295667001   1.92547666399   9.784136079735   8.968934597966001   18.5581241414   0.0
17   1.18266484208   0.0036988385375688534   5.13   5   1   0   0.0   0.36308805377753334   1.9445402864345094   1.0884308319143106   65.52641295667001   1.92547666399   9.784136079735   8.968934597966001   18.5581241414   0.0
18   0.693937963217   0.005163067576032806   5.13   3   1   0   0.0   0.36308805377753334   1.9445402864345094   1.0884308319143106   65.52641295667001   1.92547666399   9.784136079735   8.968934597966001   18.5581241414   0.0
19   1.29605909091   4.454236566123749e-5   5.13   1   1   0   0.0   0.36308805377753334   1.9445402864345094   1.0884308319143106   65.52641295667001   1.92547666399   9.784136079735   8.968934597966001   18.5581241414   0.0
20   0.930051247572   0.004065300727781762   5.13   4   1   0   0.0   0.36308805377753334   1.9445402864345094   1.0884308319143106   65.52641295667001   1.92547666399   9.784136079735   8.968934597966001   18.5581241414   0.0
21   27.6561726027   0.0001477996678759244   5.13   2   4   0   0.0   0.2927455865407923   0.7253431380093858   1.0069628803438235   0.0   2.1533661424342   1.4333105818834704   5.583744477122104   37.225272740442506   0.0
22   82.8579370079   2.5713092904441643e-5   5.13   5   4   0   0.0   0.2927455865407923   0.7253431380093858   1.0069628803438235   0.0   2.1533661424342   1.4333105818834704   5.583744477122104   37.225272740442506   0.0
23   30.5116533943   0.0003101768372409811   5.13   3   4   0   0.0   0.2927455865407923   0.7253431380093858   1.0069628803438235   0.0   2.1533661424342   1.4333105818834704   5.583744477122104   37.225272740442506   0.0
24   25.4780901639   0.00012350383206070396   5.13   1   4   0   0.0   0.2927455865407923   0.7253431380093858   1.0069628803438235   0.0   2.1533661424342   1.4333105818834704   5.583744477122104   37.225272740442506   0.0
25   44.2062567164   0.00013565174996831418   5.13   4   4   0   0.0   0.2927455865407923   0.7253431380093858   1.0069628803438235   0.0   2.1533661424342   1.4333105818834704   5.583744477122104   37.225272740442506   0.0
26   9.87984210526   3.846840670743238e-6   5.13   2   3   0   0.0   2.1831628741818996   1.985133086036889   0.5675931445371428   0.0   0.0   1.09089444642425   4.2262356495577995   26.442295358919544   0.0
27   6.36287399629   0.00032779131820701593   5.13   5   3   0   0.0   2.1831628741818996   1.985133086036889   0.5675931445371428   0.0   0.0   1.09089444642425   4.2262356495577995   26.442295358919544   0.0
28   4.0301937751   0.00020165543726632975   5.13   3   3   0   0.0   2.1831628741818996   1.985133086036889   0.5675931445371428   0.0   0.0   1.09089444642425   4.2262356495577995   26.442295358919544   0.0
29   4.54332856699   0.0006513308651463683   5.13   4   3   0   0.0   2.1831628741818996   1.985133086036889   0.5675931445371428   0.0   0.0   1.09089444642425   4.2262356495577995   26.442295358919544   0.0
30   1.31429402262   0.000501304078987382   5.13   5   1   0   0.0   7.028420408942333   3.948809345782955   3.7984104324335006   21.684183288895003   1.6389870310458998   1.0969777820708333   11.28995650541793   47.54946414341938   63.36489594951555
31   0.865911581569   0.00016257963466351685   5.13   3   1   0   0.0   7.028420408942333   3.948809345782955   3.7984104324335006   21.684183288895003   1.6389870310458998   1.0969777820708333   11.28995650541793   47.54946414341938   63.36489594951555
32   0.865586793737   0.000892264570313971   5.13   4   1   0   0.0   7.028420408942333   3.948809345782955   3.7984104324335006   21.684183288895003   1.6389870310458998   1.0969777820708333   11.28995650541793   47.54946414341938   63.36489594951555
33   5.6344   2.6320488799822153e-5   5.13   2   2   0   0.0   5.017751533807   19.1690923549125   29.273757079621646   103.53168987555   0.0   5.714848337557   4.44715273454955   241.42071859697873   65.3875111007
34   28.5396470588   6.883820147645794e-6   5.13   5   2   0   0.0   5.017751533807   19.1690923549125   29.273757079621646   103.53168987555   0.0   5.714848337557   4.44715273454955   241.42071859697873   65.3875111007
35   4.37422280244   0.00023263262793073581   5.13   3   2   0   0.0   5.017751533807   19.1690923549125   29.273757079621646   103.53168987555   0.0   5.714848337557   4.44715273454955   241.42071859697873   65.3875111007
36   4.24546376812   1.3970105593751758e-5   5.13   1   2   0   0.0   5.017751533807   19.1690923549125   29.273757079621646   103.53168987555   0.0   5.714848337557   4.44715273454955   241.42071859697873   65.3875111007
37   8.48348103187   0.0001334246316852523   5.13   4   2   0   0.0   5.017751533807   19.1690923549125   29.273757079621646   103.53168987555   0.0   5.714848337557   4.44715273454955   241.42071859697873   65.3875111007
38   0.368359882269   0.0022700409263354307   5.13   2   1   0   0.0   7.182455786841429   1.063965298998404   3.448211328412556   11.85631698727375   0.0   0.7444022876269952   1.2334097549787002   65.48950163230563   23.290944655831108
39   1.7638574359   0.00019740366599866615   5.13   5   1   0   0.0   7.182455786841429   1.063965298998404   3.448211328412556   11.85631698727375   0.0   0.7444022876269952   1.2334097549787002   65.48950163230563   23.290944655831108
40   0.383002368332   0.0035905196028926624   5.13   3   1   0   0.0   7.182455786841429   1.063965298998404   3.448211328412556   11.85631698727375   0.0   0.7444022876269952   1.2334097549787002   65.48950163230563   23.290944655831108
41   0.362253463733   0.0012421246060531454   5.13   1   1   0   0.0   7.182455786841429   1.063965298998404   3.448211328412556   11.85631698727375   0.0   0.7444022876269952   1.2334097549787002   65.48950163230563   23.290944655831108
42   0.584538737501   0.0026524978751266927   5.13   4   1   0   0.0   7.182455786841429   1.063965298998404   3.448211328412556   11.85631698727375   0.0   0.7444022876269952   1.2334097549787002   65.48950163230563   23.290944655831108
43   1.82275428922   0.0003304233670869981   5.13   2   1   0   0.0   0.82760876396925   0.5336232383752727   5.664943757558739   99.26672099218572   0.0   24.825431642070434   3.60037153423875   19.771832397154732   0.0
44   1.1672839436   0.003560959669317477   5.13   3   1   0   0.0   0.82760876396925   0.5336232383752727   5.664943757558739   99.26672099218572   0.0   24.825431642070434   3.60037153423875   19.771832397154732   0.0
45   1.07243585481   0.0007306972621427551   5.13   1   1   0   0.0   0.82760876396925   0.5336232383752727   5.664943757558739   99.26672099218572   0.0   24.825431642070434   3.60037153423875   19.771832397154732   0.0
46   2.00434953783   0.0017742034104064734   5.13   4   1   0   0.0   0.82760876396925   0.5336232383752727   5.664943757558739   99.26672099218572   0.0   24.825431642070434   3.60037153423875   19.771832397154732   0.0
47   3.17250753769   4.0290594393573914e-5   5.13   2   1   0   0.0   0.0   0.0   0.0   0.0   0.0   14.001250156035763   0.0   0.0   10.773856857086251
48   7.40624657534   8.867980072555464e-5   5.13   5   1   0   0.0   0.0   0.0   0.0   0.0   0.0   14.001250156035763   0.0   0.0   10.773856857086251
