key   prices   shares   usage   condition   rarity   statTrak   z1   z2   z3   z4   z5   z6   z7   z8   z9   z10
1   0.546541436464   3.6646219021290844e-5   0.0   2   2   0   0.0   1.0510749344370833   1.04508432203315   0.72866101943275   25.689795854658332   24.9487518439   0.32664936589143   0.24934839151321003   12.729230109722   3.2005596446364004
2   1.00368040201   0.00020145297196786957   0.0   5   2   0   0.0   1.0510749344370833   1.04508432203315   0.72866101943275   25.689795854658332   24.9487518439   0.32664936589143   0.24934839151321003   12.729230109722   3.2005596446364004
3   0.503462938882   0.0003113916290317421   0.0   3   2   0   0.0   1.0510749344370833   1.04508432203315   0.72866101943275   25.689795854658332   24.9487518439   0.32664936589143   0.24934839151321003   12.729230109722   3.2005596446364004
4   0.561781818182   1.1135591415309372e-5   0.0   1   2   0   0.0   1.0510749344370833   1.04508432203315   0.72866101943275   25.689795854658332   24.9487518439   0.32664936589143   0.24934839151321003   12.729230109722   3.2005596446364004
5   0.697245520902   0.0003051152047794768   0.0   4   2   0   0.0   1.0510749344370833   1.04508432203315   0.72866101943275   25.689795854658332   24.9487518439   0.32664936589143   0.24934839151321003   12.729230109722   3.2005596446364004
6   7.5599254386   4.616208804891885e-5   0.0   5   3   0   0.0   0.82760876396925   0.5336232383752727   3.6575267047514615   5.664943757558739   99.26672099218572   0.0   3.60037153423875   19.771832397154732   0.0
7   3.80527430556   0.00011662001191305816   0.0   3   3   0   0.0   0.82760876396925   0.5336232383752727   3.6575267047514615   5.664943757558739   99.26672099218572   0.0   3.60037153423875   19.771832397154732   0.0
8   3.52901515152   1.3362709698371248e-5   0.0   1   3   0   0.0   0.82760876396925   0.5336232383752727   3.6575267047514615   5.664943757558739   99.26672099218572   0.0   3.60037153423875   19.771832397154732   0.0
9   4.96353282828   8.017625819022748e-5   0.0   4   3   0   0.0   0.82760876396925   0.5336232383752727   3.6575267047514615   5.664943757558739   99.26672099218572   0.0   3.60037153423875   19.771832397154732   0.0
10   0.115943288084   0.0006711724643954649   0.0   2   1   0   0.0   0.2927455865407923   0.7253431380093858   60.14907987431646   1.0069628803438235   0.0   2.1533661424342   5.583744477122104   37.225272740442506   0.0
11   1.12508796296   0.00017493001786958725   0.0   5   1   0   0.0   0.2927455865407923   0.7253431380093858   60.14907987431646   1.0069628803438235   0.0   2.1533661424342   5.583744477122104   37.225272740442506   0.0
12   0.119811097257   0.0012990173549204535   0.0   3   1   0   0.0   0.2927455865407923   0.7253431380093858   60.14907987431646   1.0069628803438235   0.0   2.1533661424342   5.583744477122104   37.225272740442506   0.0
13   0.116217551963   0.00043833737116626896   0.0   1   1   0   0.0   0.2927455865407923   0.7253431380093858   60.14907987431646   1.0069628803438235   0.0   2.1533661424342   5.583744477122104   37.225272740442506   0.0
14   0.172348622417   0.0012933483265635687   0.0   4   1   0   0.0   0.2927455865407923   0.7253431380093858   60.14907987431646   1.0069628803438235   0.0   2.1533661424342   5.583744477122104   37.225272740442506   0.0
15   1.26909   0.00022271182830618745   0.0   5   2   0   0.0   2.72728525641   7.94834602862   16.164233217148332   7.575539984230583   0.0   0.0   28.503292678853935   4.214959138328   0.0
16   0.278847965739   0.0005673077662853975   0.0   2   2   0   0.0   2.4935190935987857   0.5680130602919167   2.636619928233329   3.748936545974367   0.0   0.0   17.867634705460684   17.591298068874053   0.0
17   0.982896581197   0.00023688439919839938   0.0   5   2   0   0.0   2.4935190935987857   0.5680130602919167   2.636619928233329   3.748936545974367   0.0   0.0   17.867634705460684   17.591298068874053   0.0
18   0.276041322314   0.0012494133567977116   0.0   3   2   0   0.0   2.4935190935987857   0.5680130602919167   2.636619928233329   3.748936545974367   0.0   0.0   17.867634705460684   17.591298068874053   0.0
19   0.275852179034   0.00034378607678536935   0.0   1   2   0   0.0   2.4935190935987857   0.5680130602919167   2.636619928233329   3.748936545974367   0.0   0.0   17.867634705460684   17.591298068874053   0.0
20   0.323953455571   0.000861287379649565   0.0   4   2   0   0.0   2.4935190935987857   0.5680130602919167   2.636619928233329   3.748936545974367   0.0   0.0   17.867634705460684   17.591298068874053   0.0
21   1.80102380952   8.503542535327158e-6   0.0   2   2   0   0.0   7.9725843960943745   2.3040698029668   0.0   2.3938855663046668   36.50758139611667   0.3599346115465   0.0   43.12911224052846   0.0
22   4.52437692308   2.6320488799822153e-5   0.0   5   2   0   0.0   7.9725843960943745   2.3040698029668   0.0   2.3938855663046668   36.50758139611667   0.3599346115465   0.0   43.12911224052846   0.0
23   1.22776190476   4.251771267663579e-6   0.0   1   2   0   0.0   7.9725843960943745   2.3040698029668   0.0   2.3938855663046668   36.50758139611667   0.3599346115465   0.0   43.12911224052846   0.0
24   1.24550961538   0.0001684511283188618   0.0   4   2   0   0.0   7.9725843960943745   2.3040698029668   0.0   2.3938855663046668   36.50758139611667   0.3599346115465   0.0   43.12911224052846   0.0
25   0.834060606061   2.004406454755687e-5   0.0   2   1   0   0.0   0.0   0.0   5.954405750547385   0.0   0.0   0.0   0.0   0.0   10.773856857086251
26   1.10864906103   0.0001725004342880652   0.0   5   1   0   0.0   0.0   0.0   5.954405750547385   0.0   0.0   0.0   0.0   0.0   10.773856857086251
27   0.226527549824   0.00017270289958652536   0.0   3   1   0   0.0   0.0   0.0   5.954405750547385   0.0   0.0   0.0   0.0   0.0   10.773856857086251
28   0.204605504587   2.2068717532158577e-5   0.0   1   1   0   0.0   0.0   0.0   5.954405750547385   0.0   0.0   0.0   0.0   0.0   10.773856857086251
29   0.751   6.073958953805113e-6   0.0   2   1   0   0.0   5.017751533807   19.1690923549125   34.310181969071536   29.273757079621646   103.53168987555   0.0   4.44715273454955   241.42071859697873   65.3875111007
30   5.3767   4.0493059692034085e-6   0.0   5   1   0   0.0   5.017751533807   19.1690923549125   34.310181969071536   29.273757079621646   103.53168987555   0.0   4.44715273454955   241.42071859697873   65.3875111007
31   0.652268698061   7.308997274412152e-5   0.0   3   1   0   0.0   5.017751533807   19.1690923549125   34.310181969071536   29.273757079621646   103.53168987555   0.0   4.44715273454955   241.42071859697873   65.3875111007
